Jaar;jan;feb;mrt;apr;mei;jun;jul;aug;sep;okt;nov;dec
1706;0,5;3,2;5,5;8,7;14,6;17;17,4;17,3;14;11;4,4;2,3
1707;0,7;4,9;4,7;8,3;12;16,8;18,1;15,9;14,9;9;6,5;1,9
1708;3,9;3,1;5,9;9,5;12,2;14,6;15,4;18,5;15,9;9,2;5,4;0,4
1709;-5,1;-0,3;1,1;9,2;11,6;15,3;16,1;16,2;14,5;10,9;7,8;2,5
1710;0,4;1,8;5,6;7;13,3;15;15,2;16,1;14,7;10,8;7;5,5
1711;3,2;0,6;5;9,8;12,7;16,8;16;15,4;14,2;10,6;6;3,4
1712;-0,1;3,6;4,4;8,8;12,8;16,2;16,7;16;14;10,9;6,7;2,7
1713;-0,9;5,6;4,3;6,4;11,6;13,4;15;16,6;14,9;10,6;5,2;2,8
1714;1,3;4,4;5,3;9;10,8;14,4;18,5;16,1;13;11;6,3;2,7
1715;0,2;4,2;6,1;10,7;12,1;14,5;15,6;14,8;14,1;11,8;7,9;-1,2
1716;-5,7;2,2;3,9;10,2;11,8;14,1;16,4;16,8;13,4;9,6;5,2;1,5
1717;1,2;1,4;3,7;8,2;10,7;15,2;16;16,5;14,2;10;5,2;3,8
1718;-1,4;-0,2;4,9;9,400001;13;16;16,2;20,2;16;10,2;6,9;3,7
1719;0,5;3,1;3,9;6,7;14;17,7;18,6;18,3;13,2;9,400001;6,7;0,8
1720;2,3;3,5;3,4;7,9;12,8;12,5;17,2;15,7;12,4;9,400001;5,4;3,9
1721;3;0,8;1,1;10;10,7;15,2;17,1;17,7;15,2;9,900001;7,3;2,2
1722;0,3;4,5;5,8;9,6;12;15;17,7;16,7;15,6;11,5;7,5;3,7
1723;-0,3;3,2;6,7;9,400001;12,9;15,5;15,4;17,1;14,8;12,3;8,400001;5
1724;4,2;4,2;4,1;7,8;12,3;16,6;16,9;18,1;15,1;9,7;3,9;2,1
1725;1,7;0,9;3,7;8,2;10,2;11,2;14,7;13,5;12,6;9,3;6,6;2,3
1726;-2,4;0,8;2,8;9;14,6;16,1;17,4;15,5;15,1;10,5;4,8;0,4
1727;2;3,2;3,6;7;15,1;15,3;16,7;17,5;14,8;11,1;4,6;1,8
1728;3;1,8;6,9;8,6;13,3;17,1;17,6;17,1;13,7;9,7;6,5;0,4
1729;-2,4;1,3;1,9;7,1;11,2;16,3;17,4;17,3;16,4;11,3;6,6;4,8
1730;2,2;3,1;5,2;9,2;12,5;14,2;17,3;17,6;15,1;8,7;8,1;3,1
1731;1,2;0,2;4,2;7;12;15,5;17;17,7;15,6;13;7,3;3,8
1732;0,4;3,7;5,8;9,6;12,2;14,4;16,9;17,1;15,1;10,9;6,1;0,9
1733;4,9;4,5;5,7;10,8;11,5;15,2;19,5;17,7;13,3;9,5;6,5;5,9
1734;2,3;4,9;7,1;10,2;12;15;17,5;17,4;14,8;9,5;3,4;2,1
1735;4,1;3,7;6,1;9,3;12,3;15,5;16,5;17,7;15,4;8,2;5,5;4,8
1736;3,1;1,9;4,1;9,3;12,3;15,2;17,5;18,2;15,2;10,3;7,5;5,5
1737;6;4,5;5,6;8,2;13,3;15,8;16,6;14,6;15,3;9,7;5,7;2,7
1738;0,9;3,4;5,4;9,2;12,4;15;16,5;16,1;13,3;10,6;2,8;5,8
1739;3,1;6;5,7;6,1;13,2;14,8;17;15,6;14;7,7;0,9;3,7
1740;-4,5;-2,5;2;5,5;7,5;12,2;15,1;15,4;14,8;6,2;3,5;2,5
1741;1;3,5;3,2;5,9;9,8;13,9;17;16,4;14,2;11,6;7,9;2,6
1742;-1;4,8;2,9;5,4;9,5;14,7;16,4;14,9;12,1;9,1;5;-2,4
1743;1,8;4,4;4,3;4,9;11,8;15,9;15,7;17,1;14,3;7,3;7,9;2,5
1744;-0,1;-0,4;3,5;7,2;11,2;14,8;15,8;15,3;13,7;10,7;6,4;3,1
1745;1,2;0,3;3,6;7,7;12,3;14,3;15,9;15,4;14,6;9,8;5;0,1
1746;0;0,3;1,7;6,7;14;14,3;17,2;15,3;13,8;7,6;2,1;4,1
1747;0,5;5,3;1,6;8;11,7;16,3;16,3;16,6;15;9,6;7,6;4,8
1748;0,7;-0,7;-0,7;5,6;11,9;16,9;17,2;17,4;14,6;10,5;7,7;7,1
1749;4,4;2,7;3,1;7,6;13,7;12,3;17;17,2;14,5;9,7;5;4,9
1750;0,6;5,8;8;8,2;12,5;15;18,3;16,3;15,5;8,6;3,5;2,4
1751;2,4;-0,5;6,1;7,5;10,8;15;16,1;16,2;13,1;9,6;3,9;3,2
1752;3,2;1,9;5,3;7,5;11;16,3;16,5;16,8;15,1;10,3;6,7;4,5
1753;-1,2;2,5;6,1;8,3;12;16,6;16,7;15,6;15;10,9;4,5;3,6
1754;1,8;1,2;1,6;6,5;12,9;14,5;15,4;16,7;14;10,9;5,7;2,4
1755;-1,4;-1,4;2,9;10,2;10,6;17,5;16,7;15,2;13,2;10,1;5,5;4,3
1756;5;4,2;4,9;5,6;10,4;16,3;18,1;16,3;15,5;9,8;4,2;-0,5
1757;-1,7;1,8;4,4;8,8;11,1;15;20;17,3;14,4;8,8;7,4;2,7
1758;-0,5;3,1;5;7,1;14,8;15,5;15,3;18,1;14,4;10,4;5,7;3,4
1759;4,6;5,2;6,3;8,7;11,6;16,4;19,2;17,8;14,5;11,5;3,7;-0,4
1760;-1,8;1;3,9;7,9;11,3;16,1;16,2;15,7;15,3;9,8;6,2;5,4
1761;2,5;4,3;6,7;8,2;12,8;15,5;15,6;17,7;14,7;7,3;5,3;0,1
1762;2,9;2;2,2;10,5;12,8;15,2;16,8;14,6;13,9;7;3,2;-0,4
1763;-5,8;2,9;3,3;7,3;10,3;14,8;16,3;16,5;13,2;8,3;5,6;4
1764;4,5;5;3,9;8,2;13,8;14,5;18,2;15,8;12,5;8,5;4,3;0,8
1765;3,1;-0,8;6,6;9,6;11,9;16;15,3;17,3;13,8;11;4,5;1,1
1766;0;0,9;4,7;9,7;12,1;14,8;16,6;16,8;14,5;9,900001;5,5;1,2
1767;-3,8;4,8;5,1;6,8;9,900001;13,2;15,4;16,6;15,1;10,4;7,6;0,4
1768;-2,1;3;3,7;7,4;11,6;15,1;17,2;16,6;12,3;9;5,8;3
1769;1,8;2;4,8;8,8;11,4;13,7;17,1;16,1;14,5;7,4;5,6;3,9
1770;2,1;3;2,3;6,3;11,4;14;16,4;17,7;15,9;9,7;5;4,6
1771;-0,3;0,1;0,8;4,3;13,8;14,7;16;14,9;13,9;10,6;5,8;4,2
1772;0,5;2,1;4,6;6,9;10,2;15,9;17,1;16,6;14,9;12,8;7,9;3,6
1773;4,5;1,1;5,4;8,6;12,1;14,8;16,2;17,7;14,7;11,7;6,8;4,3
1774;1;3,9;6,5;9,2;11,8;15,6;16,6;16,8;13,5;11;2,6;1,6
1775;2;6,1;6,4;8,900001;11,5;17,1;17,3;17,3;16,2;11;3;4,2
1776;-5,2;3,4;6,2;9,400001;10,6;15,8;18,4;16,8;13,9;11,1;5,5;2,2
1777;0;-0,1;5,2;6,9;12,8;14,2;16,3;17,3;14,6;10,4;7,3;1,3
1778;-0,7;0,5;4;9,2;13,8;16,4;19,5;18,2;13,2;8,1;7,1;6,4
1779;0,5;5,7;7;10,2;13,7;14,9;18,4;19,4;16,8;12,6;6;3,5
1780;-1,7;1,3;7,5;7,1;13,7;14,8;16,9;19,5;16;11,2;5,1;0,8
1781;-1,1;3,5;5,6;9,6;12,8;18,5;18,5;18,9;15,8;10,8;5,6;1,6
1782;3,8;-0,4;3,4;6,7;11;16,3;17,6;16,3;15,3;8,8;2,1;1
1783;3,1;4,7;2,5;9,6;12,3;16,5;20,6;18,1;15,2;10,8;5,7;-1,3
1784;-3,9;-1,7;1,6;5,4;14;15,5;16,7;15,9;15,8;7;6,1;0,1
1785;0,1;-0,9;0;6,1;11,4;14,8;17,1;16,2;16,1;10,5;5,6;0
1786;0,6;1,9;0,2;8,6;11,6;16,2;14,9;16,1;12,7;8,1;0,6;1,8
1787;-0,1;3,5;6,4;6,9;11;15,3;16,1;16,3;13,5;10,9;4,5;3,5
1788;2,9;1,5;2,7;8,400001;13,1;16,7;18,3;16,2;15;10,3;4,3;-5,7
